Global time spent: 1.45788
I(P) = 157
Clustering configuration: 
 Partition 0 (16): [ 0 3 10 11 12 15 22 25 26 29 30 35 39 45 47 49 ] 
 Partition 1 (25): [ 2 4 5 7 8 13 14 17 18 19 21 23 24 27 31 32 33 34 36 38 40 41 42 43 46 ] 
 Partition 2 (5): [ 1 9 28 44 48 ] 
 Partition 3 (4): [ 6 16 20 37 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,3,1
1,2,0
2,1,1
3,4,0
4,0,0
5,3,4
6,1,0
7,1,0
8,2,2
9,3,0
10,3,1
11,2,1
12,1,0
13,2,1
14,1,1
15,1,1
16,5,0
17,3,0
18,1,3
19,2,0
20,2,0
21,2,0
22,3,0
23,0,0
24,0,2
25,7,0
26,4,1
27,1,2
28,4,0
29,3,2
30,4,1
31,2,1
32,5,1
33,4,2
34,1,1
35,2,0
36,1,1
37,3,0
38,0,1
39,3,2
40,3,1
41,2,0
42,5,1
43,0,3
44,2,0
45,4,0
46,1,1
47,2,1
48,3,0
49,2,1
Imbalance analysis (in edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,2
1,2,0
2,1,1
3,3,0
4,2,2
5,1,1
6,4,0
7,2,0
8,2,2
9,10,0
10,2,0
11,2,0
12,3,1
13,0,4
14,2,3
15,3,1
16,2,0
17,4,1
18,4,1
19,2,2
20,3,0
21,2,1
22,3,2
23,2,1
24,4,1
25,1,2
26,2,0
27,2,0
28,7,0
29,1,1
30,3,0
31,2,1
32,0,1
33,1,1
34,1,0
35,2,1
36,1,0
37,1,0
38,2,1
39,1,1
40,4,1
41,2,1
42,2,2
43,2,0
44,2,0
45,1,1
46,3,1
47,3,0
48,3,0
49,2,0

